Quad 1, u_Time, x, y, z, qx, qy, qz, qw, trackingValid, state, w1[1], w1[2], w1[3], time_Since_Epoch_us, ntpOffset_ms, 
 , 3941080372, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941100373, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941120374, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941140376, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941160377, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941180378, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941200379, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941220380, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941240381, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941260382, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941280383, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941300384, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941320386, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941340388, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941360389, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941380390, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941400391, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941420392, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941440393, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941460394, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941480395, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941500396, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941520397, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941540398, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941560399, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941580400, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941600401, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941620402, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941640403, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941660404, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941680406, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941700407, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941720408, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941740409, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941760410, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941780412, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941800413, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941820415, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941840416, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941860417, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941880418, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941900419, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941920420, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941940421, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941960422, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3941980423, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
 , 3942000424, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.000000, 1, 0, 0.000000, 0.000000, 0.000000, 1690893910809908, 9999.999900, 
